cluster,field_cd,count,,,1,28
0,8,11,11.3402,0.113402062,2,9
0,5,9,20.9302,0.209302326,3,10
0,3,4,40,0.4,4,2
0,2,3,33.3333,0.333333333,5,43
0,1,2,7.1429,0.071428571,6,5
0,4,2,100,1,7,9
0,10,2,6.6667,0.066666667,8,97
0,6,1,20,0.2,9,5
0,7,1,11.1111,0.111111111,10,30
0,9,1,20,0.2,11,1
1,10,7,23.3333,0.233333333,12,1
1,13,7,33.3333,0.333333333,13,21
1,14,4,100,1,14,4
1,18,3,100,1,15,2
1,8,2,2.0619,0.020618557,16,1
1,9,1,20,0.2,17,1
1,12,1,100,1,18,3
1,15,1,50,0.5,,
1,16,1,100,1,,
1,17,1,100,1,,
2,8,17,17.5258,0.175257732,,
2,7,3,33.3333,0.333333333,,
2,10,3,10,0.1,,
2,13,3,14.2857,0.142857143,,
2,1,1,3.5714,0.035714286,,
2,2,1,11.1111,0.111111111,,
2,3,1,10,0.1,,
2,5,1,2.3256,0.023255814,,
2,6,1,20,0.2,,
2,11,1,100,1,,
3,8,17,17.5258,0.175257732,,
3,5,7,16.2791,0.162790698,,
3,1,3,10.7143,0.107142857,,
3,6,2,40,0.4,,
3,7,2,22.2222,0.222222222,,
3,10,2,6.6667,0.066666667,,
3,13,2,9.5238,0.095238095,,
3,2,1,11.1111,0.111111111,,
3,3,1,10,0.1,,
3,9,1,20,0.2,,
4,1,15,53.5714,0.535714286,,
4,5,13,30.2326,0.302325581,,
4,8,3,3.0928,0.030927835,,
4,2,2,22.2222,0.222222222,,
4,10,1,3.3333,0.033333333,,
4,13,1,4.7619,0.047619048,,
5,8,43,44.3299,0.443298969,,
5,10,9,30,0.3,,
5,13,8,38.0952,0.380952381,,
5,5,3,6.9767,0.069767442,,
5,7,1,11.1111,0.111111111,,
5,15,1,50,0.5,,
6,5,10,23.2558,0.23255814,,
6,1,7,25,0.25,,
6,10,6,20,0.2,,
6,3,4,40,0.4,,
6,8,4,4.1237,0.041237113,,
6,2,2,22.2222,0.222222222,,
6,7,2,22.2222,0.222222222,,
6,9,2,40,0.4,,
6,6,1,20,0.2,,
