iid,age,field_cd,date,go_out,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,cluster
1,21.0,1.0,7.0,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,6.0,8.0,8.0,8.0,7.0,5
2,24.0,1.0,5.0,1.0,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,7.0,5.0,10.0,8.0,3.0,3
3,25.0,2.0,3.0,1.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,8.0,9.0,8.0,9.0,8.0,5
4,23.0,1.0,5.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,7.0,8.0,9.0,7.0,8.0,3
5,21.0,1.0,4.0,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,6.0,3.0,6.0,10.0,8.0,5
6,23.0,1.0,3.0,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,5.0,7.0,8.0,9.0,5.0,2
7,22.0,1.0,5.0,1.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,6.0,6.0,5.0,7.0,7.0,3
8,25.0,13.0,5.0,1.0,2.0,2.0,1.0,10.0,9.0,9.0,3.0,2.0,10.0,8.0,10.0,9.0,9.0,6.0,6.0,8.0,6.0,7.0,4.0,8.0,8.0,8.0,6
9,26.0,13.0,4.0,1.0,4.0,3.0,1.0,8.0,6.0,7.0,2.0,2.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,8.0,3.0,7.0,6.0,10.0,7.0,7.0,6
10,26.0,13.0,6.0,1.0,9.0,9.0,9.0,7.0,6.0,6.0,7.0,1.0,7.0,8.0,5.0,6.0,7.0,7.0,8.0,7.0,7.0,6.0,8.0,10.0,6.0,9.0,1
21,21.0,5.0,7.0,4.0,10.0,8.0,10.0,5.0,5.0,5.0,2.0,1.0,3.0,7.0,10.0,4.0,7.0,4.0,8.0,5.0,2.0,5.0,9.0,7.0,9.0,10.0,5
22,27.0,9.0,6.0,2.0,1.0,2.0,2.0,8.0,8.0,8.0,1.0,2.0,6.0,8.0,8.0,8.0,9.0,7.0,7.0,8.0,8.0,7.0,8.0,7.0,8.0,7.0,6
23,21.0,3.0,1.0,1.0,2.0,2.0,3.0,9.0,7.0,6.0,6.0,7.0,7.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,3.0,5.0,8.0,6.0,7.0,8.0,3
24,27.0,11.0,6.0,4.0,10.0,1.0,10.0,9.0,6.0,6.0,10.0,6.0,3.0,6.0,1.0,6.0,9.0,8.0,8.0,6.0,7.0,7.0,9.0,9.0,8.0,8.0,2
25,25.0,11.0,5.0,2.0,7.0,4.0,7.0,7.0,6.0,3.0,5.0,6.0,8.0,9.0,9.0,7.0,10.0,6.0,8.0,8.0,4.0,7.0,9.0,7.0,8.0,6.0,4
26,23.0,11.0,5.0,2.0,9.0,4.0,9.0,7.0,7.0,4.0,6.0,5.0,7.0,5.0,3.0,9.0,9.0,6.0,4.0,5.0,1.0,7.0,8.0,8.0,8.0,8.0,2
27,22.0,3.0,6.0,2.0,7.0,6.0,8.0,8.0,7.0,6.0,8.0,7.0,8.0,8.0,5.0,5.0,5.0,5.0,7.0,7.0,8.0,6.0,6.0,7.0,7.0,7.0,5
29,22.0,11.0,6.0,1.0,8.0,9.0,7.0,7.0,7.0,6.0,2.0,2.0,7.0,7.0,7.0,5.0,7.0,6.0,8.0,9.0,5.0,6.0,9.0,8.0,7.0,8.0,4
30,23.0,1.0,7.0,2.0,5.0,6.0,8.0,7.0,4.0,4.0,2.0,1.0,7.0,8.0,5.0,7.0,7.0,7.0,9.0,6.0,4.0,7.0,8.0,9.0,8.0,8.0,5
31,24.0,1.0,4.0,3.0,3.0,3.0,7.0,10.0,7.0,7.0,7.0,2.0,6.0,6.0,8.0,8.0,8.0,6.0,7.0,10.0,6.0,8.0,8.0,9.0,8.0,9.0,3
32,27.0,3.0,4.0,2.0,4.0,1.0,5.0,9.0,5.0,5.0,1.0,2.0,4.0,9.0,6.0,6.0,7.0,5.0,8.0,10.0,9.0,7.0,5.0,9.0,9.0,7.0,3
33,30.0,3.0,6.0,1.0,4.0,6.0,10.0,7.0,8.0,6.0,6.0,8.0,6.0,10.0,10.0,8.0,8.0,6.0,6.0,7.0,9.0,6.0,8.0,6.0,8.0,8.0,3
34,21.0,8.0,6.0,2.0,7.0,6.0,6.0,7.0,4.0,4.0,5.0,4.0,7.0,7.0,6.0,9.0,10.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,5
35,25.0,2.0,6.0,3.0,9.0,7.0,9.0,8.0,8.0,8.0,5.0,6.0,9.0,7.0,9.0,8.0,8.0,7.0,7.0,8.0,3.0,8.0,9.0,9.0,9.0,7.0,5
36,26.0,2.0,5.0,2.0,6.0,1.0,4.0,6.0,7.0,7.0,7.0,1.0,3.0,9.0,1.0,9.0,6.0,6.0,7.0,5.0,1.0,8.0,7.0,8.0,8.0,6.0,3
37,27.0,3.0,6.0,2.0,6.0,4.0,6.0,10.0,9.0,8.0,7.0,6.0,7.0,5.0,6.0,10.0,7.0,8.0,7.0,4.0,9.0,7.0,8.0,7.0,9.0,5.0,3
38,23.0,1.0,4.0,3.0,7.0,2.0,7.0,10.0,2.0,2.0,7.0,4.0,7.0,2.0,8.0,8.0,10.0,10.0,10.0,10.0,2.0,8.0,2.0,7.0,8.0,8.0,5
39,24.0,1.0,6.0,4.0,3.0,2.0,4.0,10.0,10.0,8.0,7.0,1.0,5.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,1.0,6.0,9.0,6.0,8.0,7.0,3
56,23.0,11.0,3.0,1.0,2.0,1.0,10.0,10.0,5.0,5.0,2.0,1.0,7.0,6.0,8.0,8.0,7.0,6.0,9.0,10.0,4.0,10.0,10.0,9.0,8.0,5.0,4
57,22.0,11.0,5.0,2.0,4.0,4.0,5.0,9.0,9.0,9.0,9.0,1.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,6.0,10.0,10.0,9.0,10.0,1
60,29.0,3.0,6.0,2.0,3.0,1.0,9.0,9.0,5.0,5.0,3.0,1.0,5.0,5.0,2.0,10.0,7.0,6.0,9.0,5.0,5.0,7.0,9.0,9.0,9.0,9.0,3
61,28.0,7.0,5.0,2.0,1.0,1.0,5.0,10.0,10.0,10.0,5.0,1.0,5.0,10.0,6.0,10.0,10.0,8.0,10.0,8.0,7.0,7.0,10.0,7.0,10.0,7.0,6
62,26.0,1.0,7.0,2.0,8.0,5.0,7.0,8.0,6.0,6.0,7.0,7.0,7.0,7.0,3.0,2.0,9.0,7.0,9.0,9.0,2.0,9.0,9.0,9.0,9.0,9.0,5
63,24.0,1.0,6.0,1.0,5.0,3.0,8.0,6.0,9.0,8.0,5.0,1.0,2.0,10.0,1.0,8.0,9.0,4.0,5.0,6.0,2.0,6.0,8.0,9.0,8.0,7.0,3
64,27.0,11.0,6.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,5.0,3.0,8.0,7.0,8.0,8.0,9.0,9.0,8.0,5.0,8.0,8.0,6.0,9.0,9.0,1
65,23.0,11.0,5.0,3.0,7.0,5.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0,8.0,8.0,9.0,6.0,7.0,9.0,9.0,8.0,9.0,1
76,34.0,6.0,7.0,2.0,1.0,7.0,6.0,8.0,8.0,8.0,5.0,1.0,7.0,7.0,4.0,8.0,8.0,8.0,7.0,7.0,7.0,6.0,6.0,6.0,8.0,4.0,0
77,22.0,11.0,4.0,2.0,7.0,1.0,10.0,9.0,9.0,9.0,8.0,3.0,6.0,6.0,6.0,8.0,8.0,10.0,10.0,7.0,9.0,6.0,8.0,8.0,8.0,8.0,1
78,23.0,11.0,7.0,3.0,5.0,1.0,7.0,7.0,9.0,5.0,9.0,1.0,3.0,9.0,3.0,9.0,9.0,9.0,7.0,5.0,10.0,3.0,10.0,3.0,8.0,8.0,2
79,26.0,5.0,7.0,1.0,2.0,3.0,2.0,10.0,10.0,10.0,2.0,1.0,7.0,4.0,4.0,9.0,9.0,8.0,8.0,3.0,3.0,7.0,9.0,8.0,7.0,7.0,6
80,27.0,10.0,5.0,4.0,8.0,3.0,7.0,5.0,5.0,4.0,3.0,1.0,5.0,10.0,9.0,7.0,7.0,7.0,7.0,9.0,2.0,8.0,8.0,8.0,8.0,8.0,4
81,28.0,6.0,5.0,2.0,6.0,2.0,7.0,9.0,9.0,7.0,7.0,1.0,7.0,7.0,7.0,9.0,9.0,7.0,7.0,7.0,4.0,8.0,7.0,8.0,7.0,7.0,3
82,25.0,9.0,3.0,2.0,5.0,5.0,5.0,8.0,9.0,10.0,9.0,1.0,7.0,8.0,6.0,8.0,8.0,8.0,9.0,6.0,7.0,8.0,9.0,8.0,8.0,7.0,1
83,35.0,8.0,6.0,1.0,5.0,1.0,3.0,5.0,7.0,8.0,3.0,1.0,6.0,8.0,3.0,7.0,8.0,7.0,8.0,4.0,7.0,5.0,9.0,9.0,5.0,5.0,0
84,32.0,10.0,4.0,1.0,7.0,1.0,9.0,9.0,9.0,9.0,3.0,1.0,9.0,9.0,1.0,9.0,10.0,9.0,9.0,5.0,5.0,7.0,9.0,7.0,8.0,5.0,0
85,30.0,11.0,6.0,4.0,2.0,3.0,4.0,9.0,8.0,6.0,8.0,4.0,7.0,8.0,4.0,6.0,7.0,5.0,8.0,5.0,3.0,7.0,9.0,9.0,8.0,9.0,6
86,22.0,3.0,7.0,1.0,2.0,2.0,1.0,4.0,7.0,7.0,2.0,1.0,6.0,4.0,7.0,5.0,10.0,10.0,10.0,2.0,2.0,7.0,9.0,9.0,9.0,4.0,3
87,23.0,11.0,3.0,2.0,10.0,5.0,10.0,8.0,7.0,7.0,8.0,4.0,9.0,9.0,6.0,7.0,10.0,9.0,10.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,1
88,23.0,11.0,4.0,4.0,8.0,7.0,10.0,7.0,7.0,7.0,8.0,6.0,6.0,10.0,8.0,9.0,10.0,8.0,10.0,9.0,3.0,9.0,9.0,9.0,9.0,9.0,1
89,27.0,8.0,7.0,3.0,2.0,2.0,2.0,10.0,8.0,8.0,7.0,8.0,9.0,8.0,1.0,9.0,8.0,8.0,9.0,4.0,2.0,8.0,9.0,8.0,9.0,10.0,6
90,23.0,10.0,7.0,7.0,8.0,9.0,6.0,5.0,8.0,9.0,6.0,3.0,1.0,10.0,6.0,7.0,8.0,7.0,6.0,4.0,1.0,5.0,8.0,5.0,7.0,5.0,2
91,25.0,1.0,3.0,2.0,4.0,2.0,5.0,7.0,7.0,5.0,7.0,3.0,5.0,7.0,7.0,10.0,8.0,8.0,7.0,6.0,2.0,6.0,7.0,7.0,9.0,8.0,3
92,29.0,9.0,6.0,1.0,7.0,2.0,8.0,10.0,9.0,9.0,9.0,2.0,9.0,10.0,4.0,10.0,10.0,8.0,10.0,6.0,9.0,9.0,10.0,9.0,9.0,9.0,1
93,29.0,5.0,5.0,1.0,3.0,2.0,6.0,10.0,7.0,6.0,8.0,7.0,8.0,7.0,5.0,8.0,8.0,6.0,5.0,7.0,6.0,8.0,8.0,8.0,8.0,7.0,3
112,20.0,3.0,3.0,1.0,8.0,3.0,8.0,5.0,7.0,8.0,8.0,8.0,9.0,9.0,3.0,8.0,8.0,9.0,10.0,4.0,6.0,9.0,10.0,9.0,9.0,9.0,3
113,21.0,8.0,4.0,1.0,5.0,3.0,7.0,10.0,9.0,8.0,7.0,2.0,6.0,8.0,7.0,10.0,10.0,9.0,10.0,10.0,7.0,8.0,10.0,10.0,8.0,9.0,1
114,20.0,8.0,7.0,4.0,6.0,8.0,3.0,4.0,4.0,3.0,5.0,2.0,6.0,8.0,7.0,6.0,7.0,6.0,9.0,2.0,2.0,7.0,9.0,8.0,6.0,7.0,5
115,21.0,3.0,5.0,1.0,2.0,2.0,8.0,7.0,3.0,3.0,1.0,1.0,8.0,10.0,2.0,2.0,6.0,4.0,7.0,8.0,1.0,8.0,7.0,8.0,9.0,8.0,5
116,21.0,13.0,1.0,1.0,5.0,4.0,3.0,10.0,10.0,10.0,6.0,4.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,9.0,8.0,9.0,9.0,1
117,21.0,8.0,3.0,1.0,6.0,8.0,6.0,9.0,8.0,6.0,3.0,5.0,8.0,8.0,5.0,6.0,5.0,6.0,5.0,9.0,3.0,8.0,7.0,8.0,8.0,8.0,5
119,19.0,16.0,3.0,1.0,8.0,5.0,8.0,9.0,9.0,9.0,5.0,8.0,10.0,9.0,5.0,10.0,9.0,10.0,10.0,7.0,8.0,8.0,10.0,10.0,10.0,10.0,1
