iid,gender,age,field_cd,race,date,go_out,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,expnum,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1
1,0,21,1,4,7,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,2,6,8,8,8,7
2,0,24,1,2,5,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,5,7,5,10,8,3
3,0,25,2,2,3,1,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,2,8,9,8,9,8
4,0,23,1,2,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,2,7,8,9,7,8
5,0,21,1,2,4,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,10,6,3,6,10,8
6,0,23,1,4,3,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,3,5,7,8,9,5
7,0,22,1,4,5,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,3,6,6,5,7,7
8,0,25,13,2,5,1,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,10,7,4,8,8,8
9,0,26,13,6,4,1,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,15,7,6,10,7,7
10,0,26,13,2,6,1,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,10,6,8,10,6,9
11,1,27,8,2,5,4,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,3,8,9,7,8,5
12,1,22,1,2,1,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,20,9,9,9,10,9
13,1,22,1,4,7,1,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,4,4,7,8,8,3
14,1,23,1,2,4,1,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,15,9,9,9,9,9
15,1,24,1,3,4,1,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,9,7,7,7,9,9
16,1,25,8,2,5,1,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,10,6,6,8,8,6
17,1,30,13,2,3,2,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,2,7,7,6,8,4
18,1,27,8,2,6,1,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,2,6,8,6,8,9
19,1,28,8,2,1,1,10,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10,20,10,6,10,10,10
20,1,24,8,2,1,1,10,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5,10,19,7,7,10,10,10
