,iid,id,partner,pid,match,field_cd,field_pcd
20,3,3.0,1,11.0,0,Natural Science/Medical,0
21,3,3.0,2,12.0,0,Natural Science/Medical,0
22,3,3.0,3,13.0,0,Natural Science/Medical,0
23,3,3.0,4,14.0,0,Natural Science/Medical,0
24,3,3.0,5,15.0,0,Natural Science/Medical,0
25,3,3.0,6,16.0,0,Natural Science/Medical,0
26,3,3.0,7,17.0,0,Natural Science/Medical,0
27,3,3.0,8,18.0,0,Natural Science/Medical,0
28,3,3.0,9,19.0,0,Natural Science/Medical,0
29,3,3.0,10,20.0,0,Natural Science/Medical,0
424,35,15.0,1,40.0,0,Natural Science/Medical,0
425,35,15.0,2,41.0,0,Natural Science/Medical,0
426,35,15.0,3,42.0,0,Natural Science/Medical,0
427,35,15.0,4,43.0,0,Natural Science/Medical,0
428,35,15.0,5,44.0,0,Natural Science/Medical,0
429,35,15.0,6,45.0,1,Natural Science/Medical,0
430,35,15.0,7,46.0,1,Natural Science/Medical,0
431,35,15.0,8,47.0,0,Natural Science/Medical,0
432,35,15.0,9,48.0,0,Natural Science/Medical,0
433,35,15.0,10,49.0,1,Natural Science/Medical,0
434,35,15.0,11,50.0,1,Natural Science/Medical,0
435,35,15.0,12,51.0,0,Natural Science/Medical,0
436,35,15.0,13,52.0,0,Natural Science/Medical,0
437,35,15.0,14,53.0,1,Natural Science/Medical,0
438,35,15.0,15,54.0,0,Natural Science/Medical,0
439,35,15.0,16,55.0,0,Natural Science/Medical,0
440,36,16.0,1,40.0,0,Natural Science/Medical,0
441,36,16.0,2,41.0,0,Natural Science/Medical,0
442,36,16.0,3,42.0,0,Natural Science/Medical,0
443,36,16.0,4,43.0,0,Natural Science/Medical,0
444,36,16.0,5,44.0,0,Natural Science/Medical,0
445,36,16.0,6,45.0,0,Natural Science/Medical,0
446,36,16.0,7,46.0,0,Natural Science/Medical,0
447,36,16.0,8,47.0,0,Natural Science/Medical,0
448,36,16.0,9,48.0,0,Natural Science/Medical,0
449,36,16.0,10,49.0,1,Natural Science/Medical,0
450,36,16.0,11,50.0,0,Natural Science/Medical,0
451,36,16.0,12,51.0,1,Natural Science/Medical,0
452,36,16.0,13,52.0,0,Natural Science/Medical,0
453,36,16.0,14,53.0,0,Natural Science/Medical,0
454,36,16.0,15,54.0,0,Natural Science/Medical,0
455,36,16.0,16,55.0,0,Natural Science/Medical,0
751,53,14.0,1,21.0,0,Natural Science/Medical,0
752,53,14.0,2,22.0,0,Natural Science/Medical,0
753,53,14.0,3,23.0,0,Natural Science/Medical,0
754,53,14.0,4,24.0,0,Natural Science/Medical,0
755,53,14.0,5,25.0,0,Natural Science/Medical,0
756,53,14.0,6,26.0,0,Natural Science/Medical,0
757,53,14.0,7,27.0,0,Natural Science/Medical,0
758,53,14.0,8,28.0,0,Natural Science/Medical,0
759,53,14.0,9,29.0,0,Natural Science/Medical,0
760,53,14.0,10,30.0,0,Natural Science/Medical,0
761,53,14.0,11,31.0,0,Natural Science/Medical,0
762,53,14.0,12,32.0,0,Natural Science/Medical,0
763,53,14.0,13,33.0,0,Natural Science/Medical,0
764,53,14.0,14,34.0,0,Natural Science/Medical,0
765,53,14.0,15,35.0,1,Natural Science/Medical,0
766,53,14.0,16,36.0,0,Natural Science/Medical,0
767,53,14.0,17,37.0,0,Natural Science/Medical,0
768,53,14.0,19,38.0,0,Natural Science/Medical,0
769,53,14.0,20,39.0,0,Natural Science/Medical,0
1080,80,5.0,1,94.0,0,Natural Science/Medical,0
1081,80,5.0,2,95.0,0,Natural Science/Medical,0
1082,80,5.0,3,96.0,0,Natural Science/Medical,0
1083,80,5.0,4,97.0,0,Natural Science/Medical,0
1084,80,5.0,5,98.0,0,Natural Science/Medical,0
1085,80,5.0,6,99.0,0,Natural Science/Medical,0
1086,80,5.0,7,100.0,0,Natural Science/Medical,0
1087,80,5.0,8,101.0,0,Natural Science/Medical,0
