,iid,field_cd
664,3,Natural Science/Medical
665,3,Natural Science/Medical
666,3,Natural Science/Medical
667,3,Natural Science/Medical
668,3,Natural Science/Medical
669,3,Natural Science/Medical
670,3,Natural Science/Medical
671,3,Natural Science/Medical
672,3,Natural Science/Medical
673,3,Natural Science/Medical
674,35,Natural Science/Medical
675,36,Natural Science/Medical
676,35,Natural Science/Medical
677,36,Natural Science/Medical
678,35,Natural Science/Medical
679,36,Natural Science/Medical
680,35,Natural Science/Medical
681,36,Natural Science/Medical
682,35,Natural Science/Medical
683,36,Natural Science/Medical
684,35,Natural Science/Medical
685,36,Natural Science/Medical
686,35,Natural Science/Medical
687,36,Natural Science/Medical
688,35,Natural Science/Medical
689,36,Natural Science/Medical
690,35,Natural Science/Medical
691,36,Natural Science/Medical
692,35,Natural Science/Medical
693,36,Natural Science/Medical
694,35,Natural Science/Medical
695,36,Natural Science/Medical
696,35,Natural Science/Medical
697,36,Natural Science/Medical
698,35,Natural Science/Medical
699,36,Natural Science/Medical
700,35,Natural Science/Medical
701,36,Natural Science/Medical
702,35,Natural Science/Medical
703,36,Natural Science/Medical
704,35,Natural Science/Medical
705,36,Natural Science/Medical
706,173,Natural Science/Medical
707,173,Natural Science/Medical
708,173,Natural Science/Medical
709,173,Natural Science/Medical
710,173,Natural Science/Medical
711,173,Natural Science/Medical
712,173,Natural Science/Medical
713,173,Natural Science/Medical
714,173,Natural Science/Medical
715,173,Natural Science/Medical
716,173,Natural Science/Medical
717,173,Natural Science/Medical
718,173,Natural Science/Medical
719,173,Natural Science/Medical
720,173,Natural Science/Medical
721,173,Natural Science/Medical
722,185,Natural Science/Medical
723,185,Natural Science/Medical
724,185,Natural Science/Medical
725,185,Natural Science/Medical
726,185,Natural Science/Medical
727,185,Natural Science/Medical
728,185,Natural Science/Medical
729,185,Natural Science/Medical
730,185,Natural Science/Medical
731,185,Natural Science/Medical
732,222,Natural Science/Medical
733,222,Natural Science/Medical
734,222,Natural Science/Medical
735,222,Natural Science/Medical
736,222,Natural Science/Medical
737,222,Natural Science/Medical
738,222,Natural Science/Medical
739,222,Natural Science/Medical
740,222,Natural Science/Medical
741,222,Natural Science/Medical
742,222,Natural Science/Medical
743,222,Natural Science/Medical
744,222,Natural Science/Medical
745,222,Natural Science/Medical
746,222,Natural Science/Medical
747,222,Natural Science/Medical
748,222,Natural Science/Medical
749,222,Natural Science/Medical
750,222,Natural Science/Medical
751,222,Natural Science/Medical
752,202,Natural Science/Medical
753,203,Natural Science/Medical
754,202,Natural Science/Medical
755,203,Natural Science/Medical
756,202,Natural Science/Medical
757,203,Natural Science/Medical
758,202,Natural Science/Medical
759,203,Natural Science/Medical
760,202,Natural Science/Medical
761,203,Natural Science/Medical
