iid,field_cd
1,Law
2,Law
3,Natural Science/Medical
4,Law
5,Law
6,Law
7,Law
8,Social Science
9,Social Science
10,Social Science
11,Business/Finance
12,Law
13,Law
14,Law
15,Law
16,Business/Finance
17,Social Science
18,Business/Finance
19,Business/Finance
20,Business/Finance
21,Engineering
22,Social Science
23,Social Science
24,Social Science
25,Social Science
26,Social Science
27,Social Science
28,Social Science
29,Social Science
30,Law
31,Law
32,Social Science
33,Social Science
34,Business/Finance
35,Natural Science/Medical
36,Natural Science/Medical
37,Social Science
38,Law
39,Law
41,Law
42,Engineering
43,Business/Finance
44,Social Science
45,Business/Finance
46,Business/Finance
47,Business/Finance
48,Arts
49,Business/Finance
50,Law
51,Law
52,Law
53,Natural Science/Medical
54,Business/Finance
55,Law
56,Social Science
57,Social Science
60,Social Science
61,Liberal Arts
62,Law
63,Law
64,Social Science
65,Social Science
66,Business/Finance
67,Law
68,Liberal Arts
69,Business/Finance
70,Business/Finance
71,Law
72,Engineering
73,Business/Finance
74,Engineering
75,Law
76,Liberal Arts
77,Social Science
78,Social Science
79,Engineering
80,Natural Science/Medical
81,Liberal Arts
82,Social Science
83,Business/Finance
84,Natural Science/Medical
85,Social Science
86,Social Science
87,Social Science
88,Social Science
89,Business/Finance
90,Natural Science/Medical
91,Law
92,Social Science
93,Engineering
94,Business/Finance
95,Business/Finance
96,Engineering
97,Natural Science/Medical
98,Social Science
99,Law
100,Business/Finance
101,Business/Finance
102,Natural Science/Medical
103,Business/Finance
104,Natural Science/Medical
105,Law
106,Law
107,Liberal Arts
108,Engineering
109,Arts
110,Arts
111,Business/Finance
112,Social Science
113,Business/Finance
114,Business/Finance
115,Social Science
116,Social Science
117,Business/Finance
119,Liberal Arts
120,Liberal Arts
121,Social Science
122,Law
123,Engineering
124,Business/Finance
125,Natural Science/Medical
126,Liberal Arts
127,Engineering
128,Engineering
129,Business/Finance
130,Engineering
131,Engineering
132,Business/Finance
133,Engineering
134,Natural Science/Medical
135,Social Science
137,Business/Finance
138,Business/Finance
139,Engineering
140,Business/Finance
141,Business/Finance
142,Social Science
143,Law
144,Natural Science/Medical
145,Natural Science/Medical
146,Liberal Arts
147,Business/Finance
148,Business/Finance
149,Social Science
150,Liberal Arts
151,Social Science
152,Social Science
153,Liberal Arts
154,Business/Finance
155,Business/Finance
156,Business/Finance
157,Business/Finance
158,Natural Science/Medical
159,Natural Science/Medical
160,Business/Finance
161,Natural Science/Medical
162,Natural Science/Medical
163,Social Science
164,Liberal Arts
165,Social Science
166,Business/Finance
167,Natural Science/Medical
168,Natural Science/Medical
169,Natural Science/Medical
170,Natural Science/Medical
171,Business/Finance
172,Business/Finance
173,Natural Science/Medical
174,Business/Finance
175,Social Science
176,Business/Finance
177,Social Science
178,Social Science
179,Liberal Arts
180,Business/Finance
181,Natural Science/Medical
182,Natural Science/Medical
183,Social Science
184,Business/Finance
185,Natural Science/Medical
186,Engineering
187,Business/Finance
188,Engineering
189,Law
190,Social Science
191,Business/Finance
192,Business/Finance
193,Law
194,Social Science
195,Natural Science/Medical
196,Liberal Arts
197,Social Science
198,Social Science
199,Liberal Arts
200,Business/Finance
201,Business/Finance
202,Natural Science/Medical
203,Natural Science/Medical
204,Business/Finance
205,Natural Science/Medical
206,Business/Finance
207,Natural Science/Medical
208,Natural Science/Medical
209,Social Science
210,Natural Science/Medical
211,Social Science
212,Business/Finance
213,Social Science
214,Natural Science/Medical
215,Business/Finance
216,Business/Finance
217,Natural Science/Medical
218,Natural Science/Medical
219,Business/Finance
220,Social Science
221,Business/Finance
222,Natural Science/Medical
223,Liberal Arts
224,Social Science
225,Business/Finance
226,Business/Finance
227,Business/Finance
228,Natural Science/Medical
229,Natural Science/Medical
230,Social Science
231,Social Science
232,Social Science
233,Social Science
234,Social Science
235,Social Science
236,Natural Science/Medical
237,Liberal Arts
238,Arts
239,Natural Science/Medical
240,Business/Finance
241,Business/Finance
242,Social Science
243,Liberal Arts
244,Business/Finance
245,Liberal Arts
246,Natural Science/Medical
247,Natural Science/Medical
248,Business/Finance
249,Business/Finance
250,Liberal Arts
251,Liberal Arts
252,Social Science
253,Social Science
254,Liberal Arts
255,Natural Science/Medical
256,Natural Science/Medical
257,Social Science
258,Social Science
259,Natural Science/Medical
260,Natural Science/Medical
261,Natural Science/Medical
262,Social Science
263,Social Science
264,Liberal Arts
265,Law
266,Liberal Arts
267,Natural Science/Medical
268,Natural Science/Medical
269,Liberal Arts
270,Natural Science/Medical
271,Social Science
272,Social Science
273,Natural Science/Medical
274,Social Science
275,Engineering
276,Natural Science/Medical
277,Natural Science/Medical
278,Engineering
279,Natural Science/Medical
280,Natural Science/Medical
281,Social Science
282,Engineering
283,Engineering
284,Business/Finance
285,Engineering
286,Natural Science/Medical
287,Social Science
288,Social Science
289,Business/Finance
290,Natural Science/Medical
291,Natural Science/Medical
292,Social Science
293,Business/Finance
294,Social Science
295,Social Science
296,Social Science
297,Social Science
298,Liberal Arts
299,Social Science
300,Social Science
301,Social Science
302,Social Science
303,Social Science
304,Social Science
305,Social Science
306,Social Science
307,Social Science
308,Social Science
309,Social Science
310,Engineering
311,Business/Finance
312,Arts
313,Business/Finance
314,Social Science
315,Engineering
316,Business/Finance
317,Business/Finance
318,Business/Finance
319,Social Science
320,Liberal Arts
321,Business/Finance
322,Social Science
323,Engineering
324,Social Science
325,Social Science
326,Social Science
327,Social Science
328,Social Science
329,Social Science
330,Engineering
331,Social Science
332,Social Science
333,Business/Finance
334,Business/Finance
335,Social Science
336,Arts
337,Engineering
338,Engineering
