iid,gender,attr1_2,sinc1_2,intel1_2,fun1_2,amb1_2,shar1_2,attr2_2,sinc2_2,intel2_2,fun2_2,amb2_2,shar2_2
1,0,19.44,16.67,13.89,22.22,11.11,16.67,,,,,,
2,0,18.92,18.92,21.62,27.03,5.41,8.11,,,,,,
3,0,,,,,,,,,,,,
4,0,24.14,13.79,20.69,27.59,10.34,3.45,,,,,,
5,0,15.79,13.16,18.42,15.79,15.79,21.05,,,,,,
6,0,10.26,25.64,20.51,23.08,2.56,17.95,,,,,,
7,0,,,,,,,,,,,,
8,0,,,,,,,,,,,,
9,0,13.33,17.78,22.22,22.22,13.33,11.11,,,,,,
10,0,35.71,3.57,10.71,28.57,3.57,17.86,,,,,,
11,1,19.51,17.07,17.07,17.07,12.2,17.07,,,,,,
12,1,,,,,,,,,,,,
13,1,20,20,20,20,7.5,12.5,,,,,,
14,1,20,14.29,17.14,22.86,14.29,11.43,,,,,,
15,1,21.21,18.18,12.12,21.21,6.06,21.21,,,,,,
16,1,19.51,14.63,17.07,17.07,14.63,17.07,,,,,,
17,1,30,16.67,20,20,6.67,6.67,,,,,,
18,1,24.39,12.2,17.07,14.63,14.63,17.07,,,,,,
19,1,,,,,,,,,,,,
20,1,,,,,,,,,,,,
21,0,20,15,20,15,10,20,,,,,,
22,0,20,20,10,20,10,20,,,,,,
23,0,10,10,30,20,10,20,,,,,,
24,0,15,15,10,25,10,25,,,,,,
25,0,35,15,10,15,10,15,,,,,,
26,0,,,,,,,,,,,,
27,0,20,20,15,15,15,15,,,,,,
28,0,,,,,,,,,,,,
29,0,35,20,15,20,10,0,,,,,,
30,0,20,15,15,20,10,20,,,,,,
31,0,50,5,5,25,5,10,,,,,,
32,0,75,10,15,0,0,0,,,,,,
33,0,30,0,25,30,0,15,,,,,,
34,0,30,0,30,20,20,0,,,,,,
35,0,25,15,20,25,8,7,,,,,,
36,0,40,10,20,20,5,5,,,,,,
37,0,20,10,20,25,10,15,,,,,,
38,0,50,20,10,5,5,10,,,,,,
39,0,20,20,20,20,10,10,,,,,,
40,1,20,30,30,20,0,0,,,,,,
41,1,50,10,10,10,10,10,,,,,,
42,1,30,30,10,15,10,5,,,,,,
43,1,40,30,5,20,5,0,,,,,,
44,1,60,5,10,10,5,10,,,,,,
45,1,25,25,0,25,0,25,,,,,,
46,1,75,5,5,5,5,5,,,,,,
47,1,30,20,20,20,0,10,,,,,,
48,1,40,10,0,40,0,10,,,,,,
49,1,30,15,15,25,5,10,,,,,,
50,1,75,5,5,5,5,5,,,,,,
51,1,40,5,10,5,10,30,,,,,,
52,1,30,20,10,20,10,10,,,,,,
53,1,55,10,10,15,0,10,,,,,,
54,1,40,25,20,15,0,0,,,,,,
55,1,20,20,20,20,10,10,,,,,,
56,0,20,15,15,15,20,15,,,,,,
57,0,10,20,20,15,20,10,,,,,,
58,0,15,15,30,30,1,9,,,,,,
59,0,,,,,,,,,,,,
60,0,,,,,,,,,,,,
61,0,10,20,25,10,10,25,,,,,,
62,0,50,10,10,10,10,10,,,,,,
63,0,20,0,30,50,0,0,,,,,,
64,0,15,20,20,15,15,15,,,,,,
65,0,17,17,17,17,17,17,,,,,,
66,1,20,20,20,20,10,10,,,,,,
67,1,30,10,10,30,10,10,,,,,,
68,1,25,10,20,20,5,20,,,,,,
69,1,60,5,15,15,0,0,,,,,,
70,1,30,10,20,20,10,10,,,,,,
71,1,70,20,0,10,0,0,,,,,,
72,1,22,17,17,17,10,17,,,,,,
73,1,50,10,10,25,5,0,,,,,,
74,1,40,0,20,40,0,0,,,,,,
75,1,20,20,15,20,5,20,,,,,,
76,0,30,0,40,30,0,0,,,,,,
77,0,30,15,15,20,5,15,,,,,,
78,0,25,25,10,5,10,25,,,,,,
79,0,,,,,,,,,,,,
80,0,30,10,20,20,10,10,,,,,,
81,0,30,20,15,15,10,10,,,,,,
82,0,15,20,20,20,10,15,,,,,,
83,0,10,25,20,15,10,20,,,,,,
84,0,,20,20,40,0,20,,,,,,
85,0,20,20,15,20,10,15,,,,,,
86,0,30,5,20,20,5,20,,,,,,
87,0,25,15,20,25,10,5,,,,,,
88,0,20,20,15,15,10,20,,,,,,
89,0,35,15,15,15,15,5,,,,,,
90,0,15,20,20,15,10,20,,,,,,
91,0,20,2,30,35,3,10,,,,,,
92,0,20,20,15,20,10,15,,,,,,
93,0,17,17,11,28,10,17,,,,,,
94,1,20,20,20,10,20,10,,,,,,
95,1,18,15,18,20,12,17,,,,,,
96,1,15,20,15,20,15,15,,,,,,
97,1,55,8,14,13,0,10,,,,,,
98,1,30,20,15,20,0,15,,,,,,
99,1,45,20,15,20,0,0,,,,,,
100,1,25,30,15,20,0,10,,,,,,
101,1,40,10,10,20,5,15,,,,,,
102,1,50,20,0,30,0,0,,,,,,
103,1,50,5,20,10,5,10,,,,,,
